# IO Moon 80188 -- code entry points for the 2026-09 baseline disassembly.
#
#   <flat-address>  <CS value>  <label>          # evidence
#
# Flat addresses are 80188 physical addresses.  ROM1 ("V1 3_01.bin") is
# mapped at 0x80000-0xFFFFF, so file offset = flat - 0x80000.  <CS value> is
# the segment register value the code runs under; it is needed so that near
# branch targets resolve inside the right segment (dasmxx 'g' command).
#
# Every line here was justified from the instruction stream itself -- see
# README.md for the evidence trail.  Labels are deliberately provisional and
# describe what was observed, not what the routine is assumed to mean.

# ---------------------------------------------------------------- reset path
FFFF0  FFFF  reset_vector                # 80188 power-on CS:IP = FFFF:0000
FFF00  FFF0  boot_umcs_init              # target of the reset far JMP
D0000  D000  boot_init                   # target of boot_umcs_init's far JMP

# ------------------------------------------------ routines called from boot
D00B9  D000  boot_pcs_and_queue_init     # CALL from boot_init+0x22
D011C  D000  boot_queue2_init            # CALL from boot_init+0x27
D00FA  D000  pcs4_bit3_strobe            # CALL from boot_init+0x2C
F0000  F000  boot_ram_var_init           # CALL from boot_init+0x31
D0B2B  D000  boot_sound_state_init       # CALL from boot_init+0x36

# ------------------------------------------------------- IVT (ROM1 file 0)
# The IVT is a static 64-entry table in ROM at ROM1 file offset 0, seen at
# physical 0 through the LMCS window; there is no copy loop.  Exactly three
# vectors differ from the FFF0:F000 filler:
D016D  D000  isr_type02_nmi              # IVT type 02 (NMI)
D024F  D000  isr_type08_timer0           # IVT type 08 (80188 timer)
D0343  D000  isr_type0C_int0             # IVT type 0C (80188 INT0)

# ---------------------------------------------------------- main firmware
D2F22  D2F2  main_entry                  # target of boot_init's final far JMP

# ---------------------------------------------- interior points worth naming
# Already inside a region reached above; listed here only so the listing
# carries a name for them.  Both were read out of the instruction stream:
D3002  D2F2  main_loop                   # tail of main_entry: reads 413C:014F, dispatches, every branch JMPs back here
D0D37  D000  fm_sequencer_step           # body of fm_player_tick's stream walker (EE/EF/FF/DD control bytes)

# --- round r1: 39 targets reached by CALL/JMP from already-decoded code
D0138  D000  sub_D0138  # CALL from D2F99
D01E5  D000  sub_D01E5  # CALL from D0392
D0331  D000  sub_D0331  # CALL from D031B
D04A9  D000  sub_D04A9  # CALL from D2FC3
D04BF  D000  sub_D04BF  # CALL from D2F8A (+1 more)
D0C57  D000  sub_D0C57  # CALL from D0291
D0C84  D000  sub_D0C84  # CALL from D02C4
D0D09  D000  sub_D0D09  # CALL from D0284
D0D1B  D000  sub_D0D1B  # CALL from D038D
D0D99  D000  sub_D0D99  # CALL from D0D6C
D0DB4  D000  sub_D0DB4  # CALL from D2FFC
D303C  D2F2  sub_D303C  # CALL from D301E
D307F  D2F2  sub_D307F  # CALL from D3025
D3145  D2F2  sub_D3145  # CALL from D302C
D5133  D2F2  sub_D5133  # CALL from D2F3F
D5468  D2F2  sub_D5468  # CALL from D2FAF
D55AD  D2F2  sub_D55AD  # CALL from D2F54
D5A45  D2F2  sub_D5A45  # CALL from D2F6D
D5AD1  D2F2  sub_D5AD1  # CALL from D2FCB
D5D1B  D2F2  sub_D5D1B  # CALL from D2F59
D5E7A  D2F2  sub_D5E7A  # CALL from D2F9F
D60DE  D2F2  sub_D60DE  # CALL from D2FD0
D612D  D2F2  sub_D612D  # CALL from D2FF0
D622C  D2F2  sub_D622C  # CALL from D3033 (+1 more)
DAA92  D72A  sub_DAA92  # CALL from D2FF5
DBCA1  D72A  sub_DBCA1  # CALL from D2FEB
DD253  DD25  sub_DD253  # CALL from D2FB4
DD3FB  DD25  sub_DD3FB  # CALL from D2F44
F00C4  F000  sub_F00C4  # CALL from F0007
F00F1  F000  sub_F00F1  # CALL from F000C
F0113  F000  sub_F0113  # CALL from F0011
F0124  F000  sub_F0124  # CALL from F0016
F08A5  F000  sub_F08A5  # CALL from D0383
F08EB  F000  sub_F08EB  # CALL from D035E
F0E1A  F000  sub_F0E1A  # CALL from D039C
F0F93  F000  sub_F0F93  # CALL from D0376
F1054  F000  sub_F1054  # CALL from D03A8
F114A  F000  sub_F114A  # CALL from D0265
F1303  F000  sub_F1303  # CALL from D036A

# --- pass 1: scanptr.py dispatch
F05A9  F000  sub_F05A9  # dispatch, 1 site(s), first F3440
F061A  F000  sub_F061A  # dispatch, 1 site(s), first F3516
F0656  F000  sub_F0656  # dispatch, 1 site(s), first F34AB
F06A7  F000  sub_F06A7  # dispatch, 1 site(s), first F3581
F15DC  F000  sub_F15DC  # dispatch, 1 site(s), first F165A
